time,timezone,latitude,longitude,summary,sunriseTime,sunsetTime,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,daylight,city
2019-10-13 00:00:00,Asia/Kolkata,17.874857,78.100815,Possible light rain in the afternoon and evening.,2019-10-13 06:11:00,2019-10-13 17:59:00,0.2464,0.7354,2019-10-13 17:11:00,0.69,rain,20.53,2019-10-13 03:32:00,30.08,2019-10-13 13:30:00,21.63,2019-10-13 03:35:00,34.12,2019-10-13 13:30:00,11:48:00,Telangana
2019-10-12 00:00:00,Asia/Kolkata,17.874857,78.100815,Possible light rain in the evening.,2019-10-12 06:11:00,2019-10-12 17:59:00,0.4822,2.3106,2019-10-12 00:00:00,0.88,rain,20.29,2019-10-12 04:18:00,29.83,2019-10-12 13:27:00,21.34,2019-10-12 04:19:00,33.67,2019-10-12 13:23:00,11:48:00,Telangana
2019-10-17 00:00:00,Asia/Kolkata,11.059821,78.387451,Rain and humid throughout the day.,2019-10-17 06:07:00,2019-10-17 17:59:00,0.7088,3.6684,2019-10-17 23:00:00,0.95,rain,24.66,2019-10-17 07:07:00,32.43,2019-10-17 12:41:00,25.74,2019-10-17 07:09:00,38.49,2019-10-17 12:31:00,11:52:00,Tamil Nadu
2019-10-17 00:00:00,Asia/Kolkata,28.207609,79.82666,Humid throughout the day.,2019-10-17 06:13:00,2019-10-17 17:41:00,0.002,0.0072,2019-10-17 20:28:00,0.02,rain,20.27,2019-10-17 03:41:00,32.3,2019-10-17 13:35:00,21.06,2019-10-17 03:45:00,34.81,2019-10-17 13:07:00,11:28:00,Uttar Pradesh
2019-10-15 00:00:00,Asia/Kolkata,23.745127,91.746826,Possible light rain in the afternoon.,2019-10-15 05:21:00,2019-10-15 16:59:00,0.3337,1.0038,2019-10-15 14:32:00,0.6,rain,21.7,2019-10-15 05:13:00,32.49,2019-10-15 11:43:00,22.87,2019-10-15 05:11:00,40.58,2019-10-15 12:02:00,11:38:00,Tripura
2019-10-12 00:00:00,Asia/Kolkata,21.295132,81.828232,Possible light rain in the morning and afternoon.,2019-10-12 05:58:00,2019-10-12 17:43:00,0.2954,1.1888,2019-10-12 06:39:00,0.74,rain,20.37,2019-10-12 04:28:00,30.53,2019-10-12 12:36:00,21.47,2019-10-12 04:28:00,35.37,2019-10-12 12:30:00,11:45:00,Chhattisgarh
2019-10-19 00:00:00,Asia/Kolkata,17.123184,79.208824,Rain overnight and in the evening.,2019-10-19 06:08:00,2019-10-19 17:51:00,0.7016,7.0593,2019-10-19 23:00:00,0.89,rain,21.67,2019-10-19 04:23:00,29.23,2019-10-19 13:22:00,22.97,2019-10-19 04:24:00,33.83,2019-10-19 13:23:00,11:43:00,Telangana
2019-10-13 00:00:00,Asia/Kolkata,22.978624,87.747803,Humid throughout the day.,2019-10-13 05:36:00,2019-10-13 17:17:00,0.0101,0.151,2019-10-13 06:32:00,0.12,rain,22.9,2019-10-13 03:32:00,32.17,2019-10-13 13:22:00,24.13,2019-10-13 03:34:00,38.47,2019-10-13 13:19:00,11:41:00,West Bengal
2019-10-17 00:00:00,Asia/Kolkata,26.244156,92.537842,Humid throughout the day.,2019-10-17 05:21:00,2019-10-17 16:52:00,0.0174,0.1006,2019-10-17 02:28:00,0.13,rain,21.36,2019-10-17 04:12:00,31.35,2019-10-17 13:26:00,22.4,2019-10-17 04:15:00,37.55,2019-10-17 13:23:00,11:31:00,Assam
2019-10-12 00:00:00,Asia/Kolkata,15.2993,74.124,Possible light rain and humid throughout the day.,2019-10-12 06:26:00,2019-10-12 18:17:00,0.6007,1.5461,2019-10-12 14:53:00,0.88,rain,23.02,2019-10-12 04:38:00,32.82,2019-10-12 13:08:00,24.25,2019-10-12 04:46:00,40.92,2019-10-12 13:03:00,11:51:00,Goa
